step,timestamp,action,price,shares,symbol,reward,transaction_cost,slippage,time_penalty,status
668,2023-07-03 08:46:56.235297501,SELL,193.8,1.0501642891502769e-13,AAPL,-0.37457501036993485,0.20968001036993483,0.0,0.164895,filled
669,2023-07-03 08:46:56.248726742,SELL,193.8,1.289422014408885e-13,AAPL,-0.24156687567100465,0.04688587567100352,0.030000000000001137,0.164681,filled
670,2023-07-03 08:47:07.699332048,SELL,193.8,1.0223895026411163e-13,AAPL,-0.6634917567100362,0.46885875671003513,0.030000000000001137,0.164633,filled
671,2023-07-03 08:47:13.488305224,SELL,193.8,2.773971894593531e-13,AAPL,-0.23141887567101377,0.04688587567100352,0.020000000000010232,0.164533,filled
672,2023-07-03 08:47:17.997852047,SELL,193.8,8.024842126333261e-14,AAPL,-0.23154587567101376,0.04688587567100352,0.020000000000010232,0.16466,filled
673,2023-07-03 08:47:32.959934810,SELL,193.8,1.8845868288999548e-13,AAPL,-0.4410785173339231,0.2568045173339129,0.020000000000010232,0.164274,filled
674,2023-07-03 08:47:40.678165301,SELL,193.79,1.6119780176263316e-13,AAPL,-0.34985188303976583,0.17543088303977492,0.009999999999990905,0.164421,filled
675,2023-07-03 08:47:47.671659187,SELL,193.8,3.0159323492018844e-13,AAPL,-0.23130387567101376,0.04688587567100352,0.020000000000010232,0.164418,filled
676,2023-07-03 08:47:49.817877973,SELL,193.78,8.904573095701977e-14,AAPL,-0.2338756412576719,0.0663066412576719,0.0,0.167569,filled
677,2023-07-03 08:47:49.817877973,BUY,193.78,3.09224220268644e-11,AAPL,-0.4172490103699269,0.20968001036993483,0.03999999999999204,0.167569,filled
678,2023-07-03 08:47:49.817877973,SELL,193.78,1.495348125106962e-13,AAPL,-0.3258351572118374,0.14826615721184652,0.009999999999990905,0.167569,filled
679,2023-07-03 08:47:49.817877973,SELL,193.77,1.3746086858643957e-13,AAPL,-0.8087237068381244,0.6411547068381245,0.0,0.167569,filled
680,2023-07-03 08:48:11.320366339,SELL,193.8,1.320586271992447e-13,AAPL,-0.25918875134200703,0.09377175134200703,0.0,0.165417,filled
681,2023-07-03 08:48:11.320555171,SELL,193.8,6.312529266863501e-14,AAPL,-0.2752737188195367,0.0812087188195356,0.030000000000001137,0.164065,filled
682,2023-07-03 08:48:24.474507868,SELL,193.8,5.2416777168987346e-14,AAPL,-0.23160287567101376,0.04688587567100352,0.020000000000010232,0.164717,filled
683,2023-07-03 08:48:37.565117559,SELL,193.8,1.1459920713205328e-13,AAPL,-0.2784637513420173,0.09377175134200703,0.020000000000010232,0.164692,filled
684,2023-07-03 08:48:41.844135161,SELL,193.8,1.4766580676046138e-13,AAPL,-0.33227215721185677,0.14826615721184652,0.020000000000010232,0.164006,filled
685,2023-07-03 08:48:44.098418644,SELL,193.79,1.0149390301006135e-13,AAPL,-0.83754341257671,0.663066412576719,0.009999999999990905,0.164477,filled
686,2023-07-03 08:49:07.384654721,SELL,193.81,1.0368491900096357e-13,AAPL,-0.39803941774111684,0.1933154177411248,0.03999999999999204,0.164724,filled
687,2023-07-03 08:49:33.667821885,SELL,193.8,6.710494870873444e-14,AAPL,-0.24142287567100465,0.04688587567100352,0.030000000000001137,0.164537,filled
688,2023-07-03 08:49:46.817353798,SELL,193.8,1.2935991569158902e-13,AAPL,-0.26092064125767306,0.0663066412576719,0.030000000000001137,0.164614,filled
689,2023-07-03 08:50:29.416437386,SELL,193.8,5.568110635595309e-14,AAPL,-0.26835275134202635,0.09377175134200703,0.010000000000019327,0.164581,filled
690,2023-07-03 08:50:38.340323812,SELL,193.8,7.321678161789749e-14,AAPL,-0.24079064125769123,0.0663066412576719,0.010000000000019327,0.164484,filled
691,2023-07-03 08:50:49.558331490,SELL,193.8,8.640152956966131e-14,AAPL,-0.27970800518498673,0.10484000518496742,0.010000000000019327,0.164868,filled
692,2023-07-03 08:50:55.105795391,SELL,193.8,9.717501830874674e-14,AAPL,-0.27947500518498675,0.10484000518496742,0.010000000000019327,0.164635,filled
693,2023-07-03 08:51:13.239748934,SELL,193.8,6.335041402766845e-14,AAPL,-0.6060371485733433,0.429716148573324,0.010000000000019327,0.166321,filled
694,2023-07-03 08:51:13.239748934,SELL,193.8,4.703011695526039e-14,AAPL,-0.36386450268403336,0.18754350268401407,0.010000000000019327,0.166321,filled
695,2023-07-03 08:51:39.677978705,SELL,193.8,1.1110207542880731e-13,AAPL,-0.588747841934701,0.4140848419346817,0.010000000000019327,0.164663,filled
696,2023-07-03 08:51:42.376164006,SELL,193.8,6.977409035191206e-14,AAPL,-0.24102564125769121,0.0663066412576719,0.010000000000019327,0.164719,filled
697,2023-07-03 08:52:01.616803107,SELL,193.79,1.0791599109217754e-13,AAPL,-0.3651829237730157,0.1989199237730157,0.0,0.166263,filled
698,2023-07-03 08:52:01.616803107,SELL,193.79,5.267117619933808e-14,AAPL,-0.23256964125767188,0.0663066412576719,0.0,0.166263,filled
699,2023-07-03 08:52:01.616803107,SELL,193.79,9.539034070554928e-14,AAPL,-0.45906519971857307,0.2928021997185731,0.0,0.166263,filled
700,2023-07-03 08:52:09.903200926,SELL,193.8,1.023961507573316e-13,AAPL,-0.2689597513420264,0.09377175134200703,0.010000000000019327,0.165188,filled
701,2023-07-03 08:52:09.903200926,SELL,193.8,3.9615042797574425e-14,AAPL,-0.22207387567102285,0.04688587567100352,0.010000000000019327,0.165188,filled
702,2023-07-03 08:52:17.484259624,SELL,193.81,7.708215497022377e-14,AAPL,-0.3664692156461583,0.1815882156461481,0.020000000000010232,0.164881,filled
703,2023-07-03 08:52:29.229890047,SELL,193.82,5.0629544119541446e-14,AAPL,-0.34434915721184767,0.14826615721184652,0.030000000000001137,0.166083,filled
704,2023-07-03 08:52:29.229890047,SELL,193.82,4.1336685066611504e-14,AAPL,-0.30092300518496856,0.10484000518496742,0.030000000000001137,0.166083,filled
705,2023-07-03 08:52:31.750401005,SELL,193.8,1.6378267521443326e-13,AAPL,-0.26906900518496746,0.10484000518496742,0.0,0.164229,filled
706,2023-07-03 08:52:31.750577660,SELL,193.8,7.597549105253601e-14,AAPL,-0.49913512541403005,0.33483212541403007,0.0,0.164303,filled
707,2023-07-03 08:52:32.518261189,SELL,193.83,1.4099030604691034e-13,AAPL,-0.2998790051849686,0.10484000518496742,0.030000000000001137,0.165039,filled
708,2023-07-03 08:53:17.307160511,SELL,193.81,6.742161946149634e-14,AAPL,-0.36608421564615834,0.1815882156461481,0.020000000000010232,0.164496,filled
709,2023-07-03 08:53:39.720170118,SELL,193.81,1.24702982431565e-13,AAPL,-0.6080554151679148,0.4322664151679239,0.009999999999990905,0.165789,filled
710,2023-07-03 08:53:39.720170118,SELL,193.81,1.3574605960658576e-13,AAPL,-0.644647756710026,0.46885875671003513,0.009999999999990905,0.165789,filled
711,2023-07-03 08:53:47.537888507,SELL,193.8,1.1409499128353606e-13,AAPL,-0.37547301036993486,0.20968001036993483,0.0,0.165793,filled
712,2023-07-03 08:53:47.537888507,SELL,193.8,9.768557746422466e-14,AAPL,-0.32405915721186584,0.14826615721184652,0.010000000000019327,0.165793,filled
713,2023-07-03 08:53:47.537888507,SELL,193.8,8.985734173598126e-14,AAPL,-0.32405915721186584,0.14826615721184652,0.010000000000019327,0.165793,filled
714,2023-07-03 08:54:17.325438747,SELL,193.83,8.151025456614731e-14,AAPL,-0.2870397188195561,0.0812087188195356,0.040000000000020464,0.165831,filled
715,2023-07-03 08:54:17.325438747,SELL,193.84,1.6091862611423616e-13,AAPL,-0.297039718819547,0.0812087188195356,0.05000000000001137,0.165831,filled
716,2023-07-03 08:54:31.908834317,SELL,193.79,1.4815853492578007e-13,AAPL,-0.4737142026415634,0.3038552026415634,0.0,0.169859,filled
717,2023-07-03 08:54:31.908834317,SELL,193.79,1.6730656828270395e-13,AAPL,-0.26363075134200703,0.09377175134200703,0.0,0.169859,filled
718,2023-07-03 08:54:31.908834317,SELL,193.79,5.1790404766895814e-14,AAPL,-0.21674487567100353,0.04688587567100352,0.0,0.169859,filled
719,2023-07-03 08:54:31.908834317,SELL,193.79,1.3592294266094516e-13,AAPL,-0.21674487567100353,0.04688587567100352,0.0,0.169859,filled
720,2023-07-03 08:54:31.908834317,SELL,193.79,1.653194396285943e-13,AAPL,-0.21674487567100353,0.04688587567100352,0.0,0.169859,filled
721,2023-07-03 08:54:31.908834317,SELL,193.77,6.028362886844768e-14,AAPL,-0.5621343798297517,0.39227537982975164,0.0,0.169859,filled
722,2023-07-03 08:54:45.228291314,SELL,193.78,4.431818810599858e-14,AAPL,-0.24136064125766282,0.0663066412576719,0.009999999999990905,0.165054,filled
723,2023-07-03 08:55:23.691193251,SELL,193.83,1.3892402160011419e-13,AAPL,-0.47183151733392426,0.2568045173339129,0.05000000000001137,0.165027,filled
724,2023-07-03 08:55:27.681246455,SELL,193.79,1.1604736986355163e-13,AAPL,-0.5108802062883504,0.3315332062883595,0.009999999999990905,0.169347,filled
725,2023-07-03 08:55:27.681246455,SELL,193.78,1.5419335288618978e-13,AAPL,-0.21623287567100352,0.04688587567100352,0.0,0.169347,filled
726,2023-07-03 08:55:27.681246455,SELL,193.78,5.528594582729793e-14,AAPL,-0.32484985756797136,0.15550285756797136,0.0,0.169347,filled
727,2023-07-03 08:55:27.681246455,SELL,193.78,1.484935645436317e-13,AAPL,-0.2741870051849674,0.10484000518496742,0.0,0.169347,filled
728,2023-07-03 08:55:27.681246455,SELL,193.77,6.443100581885294e-14,AAPL,-0.5008802062883595,0.3315332062883595,0.0,0.169347,filled
729,2023-07-03 08:55:39.170180929,SELL,193.77,5.912046248503076e-14,AAPL,-0.6336127567100351,0.46885875671003513,0.0,0.164754,filled
730,2023-07-03 08:55:39.172174041,SELL,193.77,5.930559042651642e-14,AAPL,-0.3336464288268327,0.16904942882683274,0.0,0.164597,filled
731,2023-07-03 08:56:01.005201521,SELL,193.77,1.5265525592968606e-13,AAPL,-0.6758235199375799,0.5114645199375799,0.0,0.164359,filled
732,2023-07-03 08:56:01.005882254,SELL,193.77,1.3179402892001497e-13,AAPL,-0.6311145727039141,0.4665085727039141,0.0,0.164606,filled
733,2023-07-03 08:56:05.489125861,SELL,193.77,1.1173371771864994e-13,AAPL,-0.6339327567100351,0.46885875671003513,0.0,0.165074,filled
734,2023-07-03 08:56:05.489716639,SELL,193.77,8.826840293507021e-14,AAPL,-0.36890579392931655,0.2043707939293166,0.0,0.164535,filled
735,2023-07-03 08:56:05.490275674,SELL,193.77,1.6381981419101725e-13,AAPL,-0.6335387567100351,0.46885875671003513,0.0,0.16468,filled
736,2023-07-03 08:56:09.195364308,SELL,193.77,9.378967118572989e-14,AAPL,-0.6333217567100351,0.46885875671003513,0.0,0.164463,filled
